"Product title","Net sales","Quantity ordered","Orders"
"Inosuke : Tanjiro Demon Slayer x Nike Air Force 1",13312.85,79,76
"Nike Air Force 1 x Itachi x Nagato",13160.71,95,91
"Nike Air Force 1 x Louis Vuitton Custom",13008.56,88,84
"Levi x Titan x Nike Air Force 1",12856.41,78,75
"Scrooge McDuck x Nike Air Force 1",12704.27,70,67
"BMW Custom x Nike Air Force 1",12552.12,82,79
"Nike Air Force 1 x Dragon ball Z (Goku x Vegeta)",12399.97,84,81
"Tiger Woods x Augusta x Nike Air Force 1",12247.83,54,52
"Nike Air Force 1 x Doggo",12095.68,76,73
"Lamine Yamal x Nike Air Force 1",11943.53,71,68
"Nike Air Force 1 x Drip",11791.39,82,79
"Shanks x Luffy x Nike Air Force 1",11639.24,60,58
"Glitch x Nike Air Force 1",11487.09,80,77
"Coffee Black Studded Swoosh x Nike Air Force 1",11334.95,69,66
"Mercedes AMG F1 x Nike Air Force 1",11182.8,71,68
"Luffy x Zoro x One piece x Nike Air Force 1",11030.65,61,59
"Luffy x Zoro x Nike Air Force 1",10878.5,60,58
"Bling x Nike Air Force 1",10726.36,73,70
"Nike Air Force 1 x Waffle Ice Cream",10574.21,72,69
"Red Camo x Nike Air Force 1",10422.06,71,68
"Nike Air Force 1 x Rose",10269.92,66,63
"Spiderman x Nike Air Force 1",10117.77,64,61
"Nike Air Force 1 x Jujutsu Kaisen",9965.62,68,65
"Spiderman x Nike Air Force 1",9813.48,59,57
"Taylor Swift Eras Tour x Nike Air Force 1",9661.33,58,56
"Fire and Water x Nike Air Force 1 Black",9509.18,66,63
"Juice WRLD x Nike Air Force 1",9357.04,65,62
"PSG – “Ici C’est Paris x Nike Air Force 1",9204.89,59,57
"Obsidian Rosé Shimmer x Nike Air Force 1",9052.74,39,37
"Green Comic x Nike Air Force 1",8900.59,60,58
"Cartoon x Nike Air Force 1 Black",8748.45,64,61
"Nike Air Force 1 x Galaxy Swoosh",8596.3,58,56
"Nike Air Force 1 x Bitcoin Crypto",8444.15,42,40
"Tanjiro x Uzui x Nike Air Force 1",8292.01,56,54
"Nike Air force 1 x Dragon Ball z Manga",8139.86,45,43
"Nike Air Force 1 x Sponge Bob",7987.71,54,52
"Haikyuu x Nike Air Force 1",7835.57,49,47
"Lando Norris McLaren x Nike Air Force 1",7683.42,45,43
"Pastel Blue Splash x Nike Air Force 1",7531.27,55,53
"Spiderman x Nike Air Force 1",7379.13,47,45
"Kanroji × Iguro (Demon Slayer) x Nike Air Force 1",7226.98,46,44
"Nike Air Force 1 x Black and White Drip",7074.83,52,50
"Blue Butterfly x Nike Air Force 1",6922.68,47,45
"Nike Air Force 1 x Cristiono Ronaldo CR7",6770.54,40,38
"M3 GTR NFS Most Wanted x Nike Air Force 1",6618.39,43,41
"Nike Air Force 1 x Dragon Waves",6466.24,47,45
"Spiderman x Nike Air Force 1",6314.1,40,38
"Itachi x Nike Air Force 1",6161.95,34,33
"Nike Air Force 1 x Leaves",6009.8,43,41
"Blue Sapphire Dragon x Nike Air Force 1",5857.66,37,36
